INFO | AppLogger | 2023-04-02 16:44:14,529 | 18 | 1.0 - корректное число
INFO | AppLogger | 2023-04-02 16:44:14,530 | 24 | 2.0 - корректное число
INFO | AppLogger | 2023-04-02 16:44:14,530 | 29 | Выполнение операции / для 1.0 и 2.0
INFO | AppLogger | 2023-04-02 16:44:14,530 | 40 | Результат: 0.5
INFO | AppLogger | 2023-04-02 16:45:24,644 | 18 | 1.0 - корректное число
INFO | AppLogger | 2023-04-02 16:45:24,644 | 24 | 2.0 - корректное число
INFO | AppLogger | 2023-04-02 16:45:24,644 | 29 | Выполнение операции / для 1.0 и 2.0
INFO | AppLogger | 2023-04-02 16:45:24,644 | 40 | Результат: 0.5
INFO | AppLogger | 2023-04-02 16:46:23,306 | 18 | 1.0 - корректное число
INFO | AppLogger | 2023-04-02 16:46:23,307 | 24 | 1.0 - корректное число
INFO | AppLogger | 2023-04-02 16:46:23,307 | 29 | Выполнение операции - для 1.0 и 1.0
INFO | AppLogger | 2023-04-02 16:46:35,831 | 18 | 1.0 - корректное число
INFO | AppLogger | 2023-04-02 16:46:35,831 | 24 | 1.0 - корректное число
INFO | AppLogger | 2023-04-02 16:46:35,831 | 29 | Выполнение операции / для 1.0 и 1.0
INFO | AppLogger | 2023-04-02 16:46:46,130 | 18 | 1.0 - корректное число
INFO | AppLogger | 2023-04-02 16:46:46,130 | 24 | 2.0 - корректное число
INFO | AppLogger | 2023-04-02 16:46:46,130 | 29 | Выполнение операции / для 1.0 и 2.0
